_id,Total Earnings,Inflation-Adjusted Earnings
abdelal01,2844000,6304225.162822252
abdulka01,8560000,24060224.716091733
abdulma02,19849500,41772255.61299986
abdulta01,37982800,65584943.24966703
abdursh01,95866000,163036582.9822909
abrinal01,11719764,15044302.113847438
ackeral01,1949488,2983676.1285124803
acresma01,1609000,3869427.845582924
acyqu01,8025506,10473512.060852038
adamsal01,1775000,5129032.529298129
adamsha01,709881,1073907.3898492085
adamsjo01,4213800,5521801.999084133
adamsmi01,6612000,15028151.757552495
adamsst01,32167307,41233368.2193414
addisra01,1733000,3716199.350221481
adebaba01,2490360,3156434.567923603
adrieje01,3314407,4471985.534264342
afflaar01,58852159,78889725.6810698
agerma01,3006625,4527008.133179647
aguirma01,8176640,20149090.089882202
ahearbl01,125562,183089.83521887433
aingeda01,8800000,20738648.32604248
ajincal01,18959122,25165097.999877475
akognjo01,788872,1054395.1885009552
alabiso01,1600000,2253760.219166646
alarima01,1532500,3774236.753763011
aldemfu01,6000000,7898389.809299927
aldrico01,23883663,31459792.075634357
aldrila01,147618922,199258360.44427153
alexacl01,576542,758380.3500675041
alexaco01,12161158,21921864.975619964
alexaco02,6502302,11340106.53000769
alexaga01,150000,315788.9876880985
alexajo01,5076945,7398474.897159128
alexavi01,6477850,13632984.965674972
alforst01,500000,1279805.2275463948
allenja01,1713720,2172073.5346464114
allenje01,992500,1926056.334451138
allenla01,15181767,20142626.97347112
allenma01,12607130,19824930.782429043
allenra02,184356410,294962251.8883446
allento01,40698419,56138121.56468955
almonmo01,2087400,3106554.631047981
alstode01,500000,1032529.8393181716
alstora01,28129531,43647145.548922285
amaecjo01,9562500,16621547.074478634
amayaas01,472500,954141.364001272
aminual01,35447764,46864075.18238121
amundlo01,11864489,16488603.903899578
anderal01,8925429,11926949.828268692
anderch01,38507101,54560535.87723559
anderda03,4800000,6903851.996024992
anderde01,58973127,98801922.49906287
anderer01,390000,851625.6397431379
andergr01,5716250,12852558.286667205
anderja01,5374616,7380389.922630046
anderju01,4542600,5877310.783189744
anderke01,63425200,120716661.91167076
