player_id,Total_inflation_salary
abdelal01,"$6,304,225.16"
abdulka01,"$24,060,224.72"
abdulma02,"$41,772,255.61"
abdulta01,"$65,584,943.25"
abdursh01,"$163,036,582.98"
abrinal01,"$15,044,302.11"
ackeral01,"$2,983,676.13"
acresma01,"$3,869,427.85"
acyqu01,"$10,473,512.06"
adamsal01,"$5,129,032.53"
adamsha01,"$1,073,907.39"
adamsjo01,"$5,521,802.00"
adamsmi01,"$15,028,151.76"
adamsst01,"$41,233,368.22"
addisra01,"$3,716,199.35"
adebaba01,"$3,156,434.57"
adrieje01,"$4,471,985.53"
afflaar01,"$78,889,725.68"
agerma01,"$4,527,008.13"
aguirma01,"$20,149,090.09"
ahearbl01,"$183,089.84"
aingeda01,"$20,738,648.33"
ajincal01,"$25,165,098.00"
akognjo01,"$1,054,395.19"
alabiso01,"$2,253,760.22"
alarima01,"$3,774,236.75"
aldemfu01,"$7,898,389.81"
aldrico01,"$31,459,792.08"
aldrila01,"$199,258,360.44"
alexacl01,"$758,380.35"
alexaco01,"$21,921,864.98"
alexaco02,"$11,340,106.53"
alexaga01,"$315,788.99"
alexajo01,"$7,398,474.90"
alexavi01,"$13,632,984.97"
alforst01,"$1,279,805.23"
allenja01,"$2,172,073.53"
allenje01,"$1,926,056.33"
allenla01,"$20,142,626.97"
allenma01,"$19,824,930.78"
allenra02,"$294,962,251.89"
allento01,"$56,138,121.56"
almonmo01,"$3,106,554.63"
alstode01,"$1,032,529.84"
alstora01,"$43,647,145.55"
amaecjo01,"$16,621,547.07"
amayaas01,"$954,141.36"
aminual01,"$46,864,075.18"
amundlo01,"$16,488,603.90"
anderch01,"$54,560,535.88"
anderda03,"$6,903,852.00"
anderal01,"$11,926,949.83"
anderde01,"$98,801,922.50"
anderer01,"$851,625.64"
andergr01,"$12,852,558.29"
anderja01,"$7,380,389.92"
anderju01,"$5,877,310.78"
anderke01,"$120,716,661.91"
anderky01,"$7,220,121.27"
anderni01,"$81,860,888.45"
anderri01,"$1,412,770.51"
anderro01,"$7,765,439.98"
anderry01,"$103,286,406.22"
andersh01,"$83,862,837.86"
anderwi01,"$23,530,248.14"
andrima01,"$1,674,544.34"
anigbik01,"$1,204,088.10"
anslemi01,"$483,185.24"
anstech01,"$5,343,902.01"
antetgi01,"$39,807,793.77"
antetth01,"$139,453.08"
anthoca01,"$319,812,626.92"
anthogr01,"$36,109,804.60"
anthojo01,"$31,935,355.29"
anticpe01,"$1,644,762.44"
anunoog01,"$2,085,227.10"
applike01,"$213,056.83"
araujra01,"$10,792,683.35"
archiro01,"$1,562,175.41"
arenagi01,"$208,810,058.54"
arizatr01,"$104,603,398.48"
armstbj01,"$33,094,202.97"
armstbr01,"$4,826,000.96"
armstda01,"$48,618,070.98"
armsthi01,"$14,090,529.76"
arroyca01,"$31,942,874.87"
arthuda01,"$43,987,795.91"
asikom01,"$79,409,129.37"
askewvi01,"$12,003,719.45"
askinke01,"$11,448,469.85"
atkinch01,"$56,053,070.05"
augmost01,"$57,160,788.13"
augusdj01,"$47,782,657.47"
augusja01,"$1,685,924.76"
austiis01,"$41,988,463.97"
aventan01,"$7,102,383.73"
averywi01,"$7,005,238.55"
ayongu01,"$6,232,508.77"
pendeje02,"$9,963,432.06"
azubuke01,"$16,197,148.08"
babbch01,"$63,195.72"
babbilu01,"$14,214,714.35"
babicmi01,"$483,185.24"
bacondw01,"$1,033,760.33"
bagarda01,"$7,104,751.08"
baglejo01,"$10,101,157.96"
baileja01,"$3,833,643.23"
baileth01,"$18,759,573.80"
baileto01,"$1,549,816.95"
bairsca01,"$1,780,489.18"
bakerro01,"$6,191,621.27"
bakervi01,"$172,567,255.77"
balkmre01,"$15,867,905.16"
balllo01,"$7,967,970.61"
ballagr01,"$2,576,669.66"
banksge01,"$1,456,854.67"
banksma01,"$39,468,278.09"
bannike01,"$2,079,505.25"
barbole01,"$67,361,878.02"
bardost01,"$795,072.98"
bareajo01,"$44,506,154.06"
bargnan01,"$102,764,693.69"
barklch01,"$93,631,740.50"
barkler01,"$3,606,234.89"
barneha02,"$74,848,368.43"
barnema02,"$43,179,484.18"
barrean01,"$1,795,948.53"
barroea01,"$4,435,106.86"
barroda01,"$49,953,180.98"
barrybr01,"$90,821,105.78"
barrydr01,"$784,202.11"
barryjo01,"$35,481,983.97"
bartowi01,"$16,464,168.17"
basdeed01,"$643,600.20"
bassbr01,"$53,317,967.93"
bastoma01,"$8,062,175.07"
bateeme01,"$1,969,108.45"
batises01,"$1,674,544.34"
batismi01,"$607,336.69"
battito01,"$93,894,959.19"
battish01,"$85,526,422.90"
battljo01,"$11,683,738.98"
battlke01,"$1,157,597.78"
batumni01,"$124,834,248.05"
baxtelo01,"$3,790,214.42"
bayleje01,"$53,352,134.01"
baynear01,"$26,822,530.83"
bazarse01,"$353,683.67"
bazemke01,"$48,832,048.54"
bealbr01,"$83,681,049.20"
beaslje01,"$1,652,030.89"
beaslma01,"$4,269,625.03"
beaslmi01,"$50,833,721.13"
beaubro01,"$7,962,802.09"
beckco01,"$1,336,154.66"
bedfowi01,"$9,766,584.54"
belinma01,"$50,173,313.79"
bellch01,"$29,243,465.39"
belljo01,"$1,033,760.33"
bellra01,"$54,901,225.06"
belltr01,"$6,860,047.73"
bembrde01,"$3,934,775.66"
bendedr01,"$11,219,603.94"
bendejo01,"$51,991,681.48"
benimje01,"$85,321.06"
benjabe01,"$52,041,109.17"
benjaco01,"$3,698,358.52"
bennean01,"$21,811,509.63"
bennema01,"$3,835,268.04"
benneto01,"$1,176,432.11"
bennewi01,"$2,468,875.57"
benoida01,"$11,038,556.05"
bensoke02,"$97,436.12"
bensoke01,"$3,672,147.69"
bentibe01,"$431,276.94"
berryri01,"$798,070.01"
berrywa01,"$1,627,090.35"
bertada01,"$2,369,732.84"
besttr01,"$33,295,788.79"
beverpa01,"$25,984,231.02"
bhullsi01,"$39,267.72"
bibbymi01,"$171,246,844.51"
biedran01,"$88,818,428.58"
billuch01,"$165,205,740.26"
birchkh01,"$1,099,550.83"
birdla01,"$57,420,167.63"
birdsot01,"$7,840,155.78"
biyombi01,"$64,751,526.05"
bjeline01,"$15,211,180.16"
blabuw01,"$2,048,002.14"
blackta01,"$13,993,463.03"
blackro01,"$26,948,707.63"
blackal01,"$312,023.61"
blairde01,"$11,884,863.69"
blakest01,"$52,818,196.68"
blalowi01,"$640,595.36"
blankla01,"$2,922,873.66"
blantri01,"$17,829.92"
blatcan01,"$55,390,722.30"
blaylmo01,"$61,467,415.70"
bledser01,"$79,990,041.60"
blounco01,"$27,169,194.93"
blounma01,"$68,853,604.40"
bobbito01,"$507,557.69"
boganke01,"$27,795,918.56"
bogdabo01,"$12,003,635.38"
bogdabo02,"$26,979,589.33"
boguemu01,"$36,656,044.35"
bogutan01,"$163,269,295.56"
bohanet01,"$1,481,231.87"
bolma01,"$13,747,996.68"
bondwa01,"$1,026,282.19"
bonnean01,"$6,181,280.71"
bonnema01,"$43,100,581.06"
bookede01,"$8,630,821.58"
booketr01,"$44,908,786.30"
boonejo01,"$8,124,732.98"
boothca01,"$64,179,319.77"
boothke01,"$3,920,393.01"
boozeca01,"$211,962,916.52"
borchcu01,"$9,254,981.76"
borrela01,"$565,513.11"
boshch01,"$296,652,396.04"
bosweto01,"$196,332.53"
boumtru01,"$2,599,835.90"
bowdlca01,"$6,006,356.61"
bowenbr01,"$48,959,853.75"
bowenry01,"$14,540,685.11"
bowiean01,"$6,600,864.76"
bowiesa01,"$38,853,779.42"
bowmair01,"$43,265.72"
boycedo01,"$1,005,337.14"
boykiea01,"$26,801,278.16"
bozemce01,"$640,595.36"
brackcr01,"$3,819,996.23"
bradlav01,"$51,267,585.10"
bradldu01,"$765,357.97"
bradlmi01,"$8,782,118.67"
bradlsh01,"$128,213,579.10"
bradlto01,"$1,793,356.14"
bradtma01,"$493,379.39"
braggma01,"$460,761.98"
braggto01,"$668,919.07"
bramlaj01,"$222,878.20"
brancad01,"$399,035.00"
brandel01,"$256,892,878.50"
brandte01,"$108,340,373.76"
breauti01,"$1,303,235.79"
bremejr01,"$1,562,175.41"
breuera01,"$10,388,026.11"
breweco01,"$68,047,404.99"
breweja01,"$3,754,151.74"
brewero02,"$28,145,043.15"
brezepr01,"$21,262,131.45"
brickfr01,"$29,543,298.69"
bridgju01,"$2,078,276.12"
brittmi01,"$306,330.28"
brockjo01,"$4,842,996.87"
brogdma01,"$2,865,395.56"
brookaa01,"$27,338,662.43"
brookdi01,"$1,033,760.33"
brookke01,"$6,579,779.61"
brookma01,"$5,210,666.20"
brookmi01,"$207,591.50"
brooksc01,"$7,424,807.18"
brownan01,"$1,614,246.03"
brownbo02,"$4,491,172.07"
brownch01,"$8,265,620.96"
brownda02,"$928,058.85"
brownde01,"$48,189,309.33"
brownde03,"$988,464.88"
brownde04,"$2,943,799.11"
brownde02,"$12,741,976.44"
browner01,"$585,022.34"
brownge02,"$1,268,816.65"
brownja01,"$58,902.23"
brownja02,"$12,444,005.89"
brownke01,"$12,395,777.40"
brownkw01,"$99,043,381.03"
brownma01,"$2,439,262.67"
brownmi01,"$14,559,263.13"
brownmy01,"$457,338.78"
brownpj01,"$121,474,436.12"
brownra02,"$28,579,450.95"
brownri01,"$483,280.08"
brownsh01,"$24,621,026.89"
brownst02,"$1,033,760.33"
brownti01,"$1,781,686.69"
brownto01,"$1,656,307.06"
brunsri01,"$9,413,977.05"
brussni01,"$1,853,417.33"
bryanko01,"$490,176,628.55"
bryanma01,"$34,701,197.54"
bryanth01,"$1,033,760.33"
bryanwa01,"$976,151.32"
buckngr01,"$47,264,921.98"
bucknqu01,"$1,372,486.79"
budinch01,"$24,359,036.91"
buechju01,"$27,030,717.69"
buforro01,"$3,669,071.39"
bullama01,"$16,119,538.42"
bullore01,"$10,864,172.06"
burkepa01,"$3,075,065.47"
burketr01,"$15,507,484.53"
burksal01,"$51,780,641.26"
burksan01,"$1,676,081.08"
burleke01,"$752,249.87"
burnsev01,"$3,487,987.55"
burresc01,"$14,317,963.07"
burroju01,"$614,349.30"
burtowi01,"$15,011,873.57"
burttst01,"$207,591.50"
busedo01,"$392,665.06"
butleca01,"$121,907,232.89"
butlegr01,"$266,023.34"
butleja01,"$11,352,890.22"
butleji01,"$74,411,328.01"
butlemi02,"$7,959,787.32"
butlera01,"$35,403,093.77"
buyckdw01,"$1,011,459.46"
bynuman01,"$103,038,973.78"
bynumwi01,"$23,569,127.79"
cabarza01,"$9,865,230.33"
cabocbr01,"$9,098,022.71"
caffeja01,"$60,799,576.56"
cagemi01,"$36,982,788.53"
calatni01,"$1,074,335.14"
caldejo01,"$115,750,388.35"
caldwad01,"$2,099,973.53"
caldwke01,"$38,273,448.34"
callori01,"$301,990.78"
cambrde01,"$334,311.01"
cambyma01,"$206,045,381.48"
campbel01,"$129,124,853.50"
campbto01,"$15,395,790.67"
canaais01,"$5,227,033.76"
capelca01,"$7,844,328.16"
caracde01,"$1,050,677.28"
cardibr01,"$60,508,706.71"
