_id,Name,Month,Day,Year,Position,College,Draft Year,Draft Round,Draft Pick,Career Games Played,Career Points Per Game,Total Career Points,Birth City,Birth State/Country
abdelal01,Alaa Abdelnaby,June,24, 1968,Power Forward,Duke University,1990,1st round,25th overall,256,5.7,1459,Cairo, Egypt
abdulma02,Mahmoud Abdul-Rauf,March,9, 1969,Point Guard,Louisiana State University,1990,1st round,3rd overall,586,14.6,8555,Gulfport, Mississippi
abdulta01,Tariq Abdul-Wahad,November,3, 1974,Shooting Guard,"University of Michigan, San Jose State University",1997,1st round,11th overall,236,7.8,1840,Maisons Alfort, France
abdursh01,Shareef Abdur-Rahim,December,11, 1976,Center and Small Forward and Power Forward,University of California,1996,1st round,3rd overall,830,18.1,15023,Marietta, Georgia
abrinal01,Alex Abrines,August,1, 1993,Shooting Guard,No college,2013,2nd round,32nd overall,174,5.3,922,Palma de Mallorca, Spain
ackeral01,Alex Acker,January,21, 1983,Shooting Guard,Pepperdine University,2005,2nd round,60th overall,30,2.7,81,Compton, California
acyqu01,Quincy Acy,October,6, 1990,Power Forward and Small Forward,Baylor University,2012,2nd round,37th overall,337,4.9,1651,Tyler, Texas
adamsha01,Hassan Adams,June,20, 1984,Shooting Guard,University of Arizona,2006,2nd round,54th overall,73,2.5,182,Inglewood, California
adamsjo01,Jordan Adams,July,8, 1994,Shooting Guard,"University of California, Los Angeles",2014,1st round,22nd overall,32,3.2,102,Atlanta, Georgia
adamsst01,Steven Adams,July,20, 1993,Center,University of Pittsburgh,2013,1st round,12th overall,467,9.7,4529,Rotorua, New Zealand
addisra01,Rafael Addison,July,22, 1964,Small Forward,Syracuse University,1986,2nd round,39th overall,379,5.8,2198,Jersey City, New Jersey
adebaba01,Bam Adebayo,July,18, 1997,Center,University of Kentucky,2017,1st round,14th overall,151,8.0,1208,Newark, New Jersey
afflaar01,Arron Afflalo,October,15, 1985,Shooting Guard and Small Forward,"University of California, Los Angeles",2007,1st round,27th overall,762,10.8,8229,Los Angeles, California
agerma01,Maurice Ager,February,9, 1984,Shooting Guard,Michigan State University,2006,1st round,28th overall,82,2.1,172,Detroit, Michigan
ajincal01,Alexis Ajinca,May,6, 1988,Power Forward and Center,No college,2008,1st round,20th overall,293,5.3,1552,Saint-Etienne, France
alabiso01,Solomon Alabi,March,21, 1988,Center,Florida State University,2010,2nd round,50th overall,26,1.5,39,Kaduna, Nigeria
alarima01,Mark Alarie,December,11, 1963,Power Forward,Duke University,1986,1st round,18th overall,325,7.5,2437,Phoenix, Arizona
aldemfu01,Furkan Aldemir,August,9, 1991,Power Forward,No college,2012,2nd round,53rd overall,41,2.3,94,Konak, Turkey
aldrico01,Cole Aldrich,October,31, 1988,Center,University of Kansas,2010,1st round,11th overall,339,3.1,1050,Burnsville, Minnesota
aldrila01,LaMarcus Aldridge,July,19, 1985,Power Forward and Center,University of Texas at Austin,2006,1st round,2nd overall,950,19.6,18620,Dallas, Texas
alexaco01,Cory Alexander,June,22, 1973,Shooting Guard and Point Guard,University of Virginia,1995,1st round,29th overall,307,5.5,1688,Waynesboro, Virginia
alexaco02,Courtney Alexander,April,27, 1977,Point Guard and Shooting Guard,"University of Virginia, California State University, Fresno",2000,1st round,13th overall,187,9.0,1683,Bridgeport, Connecticut
alexajo01,Joe Alexander,December,26, 1986,Small Forward,West Virginia University,2008,1st round,8th overall,67,4.2,281,Kaohsiung, Taiwan
alexavi01,Victor Alexander,August,31, 1969,Center,Iowa State University,1991,1st round,17th overall,286,8.9,2545,Detroit, Michigan
alforst01,Steve Alford,November,23, 1964,Point Guard,Indiana University,1987,2nd round,26th overall,169,4.4,743,Franklin, Indiana
allengr01,Grayson Allen,October,8, 1995,Shooting Guard,Duke University,2018,1st round,21st overall,38,5.6,212,Jacksonville, Florida
allenja01,Jarrett Allen,April,21, 1998,Center,University of Texas at Austin,2017,1st round,22nd overall,152,9.6,1459,Austin, Texas
allenje01,Jerome Allen,January,28, 1973,Shooting Guard,University of Pennsylvania,1995,2nd round,49th overall,117,2.9,339,Philadelphia, Pennsylvania
allenka01,Kadeem Allen,January,15, 1993,Shooting Guard and Point Guard,University of Arizona,2017,2nd round,53rd overall,37,5.6,207,Wilmington, North Carolina
